time,theta,omega
202.627914, 1.841920, 0.104633
207.345322, 1.104960, -1.969433
212.052734, 2.671084, 0.501121
216.770142, 2.552271, -1.421514
221.477554, 1.473315, -0.051366
226.194962, 1.216289, -1.885075
230.902374, 2.560652, 0.430437
235.619781, 2.127741, -1.618688
240.327194, 1.841661, 0.104358
245.044601, 1.104600, -1.969393
249.752014, 2.671170, 0.501002
254.469421, 2.552034, -1.421487
259.181671, 1.470650, -0.055028
263.896271, 1.230398, -1.878666
268.610870, 2.541860, 0.412742
273.315460, 2.079683, -1.643335
278.030060, 1.884135, 0.119774
282.744659, 1.127812, -1.967205
287.459259, 2.649334, 0.482924
292.163849, 2.475516, -1.460033
296.878448, 1.537041, -0.018806
301.593048, 1.197514, -1.900665
306.307648, 2.575364, 0.435361
311.022247, 2.182259, -1.590134
315.726837, 1.782102, 0.082545
320.441437, 1.124506, -1.957160
325.156036, 2.649147, 0.483649
329.870636, 2.464661, -1.459085
334.575226, 1.536831, -0.016627
339.289825, 1.202091, -1.900601
344.004425, 2.574218, 0.437039
348.719025, 2.185483, -1.590316
353.433624, 1.783102, 0.074925
358.138214, 1.129048, -1.957372
362.852814, 2.648073, 0.485350
367.567413, 2.468272, -1.459241
372.282013, 1.536461, -0.024272
376.986603, 1.206615, -1.900558
381.701202, 2.573118, 0.438747
386.415802, 2.188916, -1.590393
391.130402, 1.783172, 0.077379
395.845001, 1.114023, -1.956870
400.549591, 2.646971, 0.487023
405.264191, 2.471752, -1.459451
409.978790, 1.536451, -0.022011
414.693390, 1.192068, -1.900462
419.397980, 2.572068, 0.440476
424.112579, 2.192469, -1.590418
428.827179, 1.783140, 0.079803
433.541779, 1.118574, -1.957064
438.256378, 2.650672, 0.481555
442.960968, 2.475221, -1.459676
447.675568, 1.536457, -0.019736
452.390167, 1.196519, -1.900480
457.104767, 2.575375, 0.434678
461.809357, 2.196115, -1.590401
466.523956, 1.783018, 0.082190
471.238556, 1.123137, -1.957235
475.953156, 2.649557, 0.483226
480.667755, 2.464041, -1.458841
485.372345, 1.536508, -0.017440
490.086945, 1.200958, -1.900502
494.801544, 2.574363, 0.436437
499.516144, 2.183915, -1.590560
504.220734, 1.782840, 0.084555
508.935333, 1.127697, -1.957391
513.649902, 2.648464, 0.484930
518.364502, 2.467623, -1.459034
523.079102, 1.536190, -0.025029
527.783691, 1.205510, -1.900479
532.498291, 2.573285, 0.438185
537.212891, 2.187468, -1.590606
541.927490, 1.783597, 0.076876
546.642090, 1.112756, -1.956873
551.346680, 2.647308, 0.486590
556.061279, 2.470934, -1.459329
560.775879, 1.536333, -0.022688
565.490479, 1.190906, -1.900419
570.195068, 2.572300, 0.439964
574.909668, 2.191280, -1.590510
579.624268, 1.783337, 0.079210
584.338867, 1.117324, -1.957035
589.053467, 2.650985, 0.481104
593.758057, 2.474306, -1.459598
598.472656, 1.536424, -0.020375
603.187256, 1.195309, -1.900467
607.901855, 2.575645, 0.434188
612.606445, 2.195073, -1.590426
617.321045, 1.783087, 0.081549
622.035645, 1.121886, -1.957194
626.750244, 2.649858, 0.482766
631.464844, 2.463093, -1.458780
636.169434, 1.536500, -0.018066
640.884033, 1.199733, -1.900499
645.598633, 2.574651, 0.435959
650.313232, 2.182920, -1.590560
655.017822, 1.782867, 0.083898
659.732422, 1.126451, -1.957345
664.447021, 2.648750, 0.484436
669.161621, 2.466518, -1.459020
673.876221, 1.536283, -0.025640
678.580811, 1.204171, -1.900512
683.295410, 2.573638, 0.437715
688.010010, 2.186611, -1.590521
692.724609, 1.783462, 0.076123
697.429199, 1.131015, -1.957493
702.143799, 2.647623, 0.486100
706.858398, 2.469909, -1.459278
711.572998, 1.536359, -0.023333
716.287598, 1.189598, -1.900424
720.992188, 2.572625, 0.439476
725.706787, 2.190329, -1.590471
730.421387, 1.783284, 0.078489
735.135986, 1.116003, -1.956975
739.840576, 2.646497, 0.487767
744.555176, 2.473319, -1.459527
749.269775, 1.536414, -0.021035
753.984375, 1.194019, -1.900464
758.698975, 2.575949, 0.433689
763.403564, 2.194058, -1.590415
768.118164, 1.783094, 0.080849
772.832764, 1.120553, -1.957138
777.547363, 2.650187, 0.482271
782.251953, 2.476646, -1.459805
786.966553, 1.536518, -0.018729
791.681152, 1.198406, -1.900504
796.395752, 2.574960, 0.435448
801.110352, 2.181863, -1.590559
805.814941, 1.782894, 0.083191
810.529541, 1.125105, -1.957297
815.244141, 2.649071, 0.483943
819.958740, 2.465490, -1.458960
824.663330, 1.536544, -0.016444
829.377930, 1.202865, -1.900512
834.092529, 2.573931, 0.437197
838.807129, 2.185508, -1.590541
843.521729, 1.783519, 0.075428
848.226318, 1.129661, -1.957457
852.940918, 2.647960, 0.485615
857.655518, 2.468940, -1.459188
862.370117, 1.536307, -0.024024
867.074707, 1.207319, -1.900508
871.789307, 2.572901, 0.438946
876.503906, 2.189152, -1.590524
881.218506, 1.783409, 0.077822
885.933105, 1.114663, -1.956934
890.637695, 2.646829, 0.487279
895.352295, 2.472326, -1.459448
900.066895, 1.536387, -0.021715
904.781494, 1.192736, -1.900445
909.486084, 2.571886, 0.440706
914.200684, 2.192878, -1.590468
918.915283, 1.783215, 0.080183
923.629883, 1.119226, -1.957102
928.344482, 2.650523, 0.481802
933.049072, 2.475741, -1.459699
937.763672, 1.536441, -0.019419
942.478271, 1.197170, -1.900474
947.192871, 2.575218, 0.434920
951.907471, 2.180681, -1.590626
956.612061, 1.783046, 0.082550
961.326660, 1.123782, -1.957266
966.041260, 2.649408, 0.483471
970.755859, 2.464567, -1.458861
975.460449, 1.536484, -0.017126
980.175049, 1.201600, -1.900497
984.889648, 2.574215, 0.436685
989.604248, 2.184417, -1.590567
994.318848, 1.783589, 0.074755
